[INFO ] [2021-01-22 13:45:03,956] Precondition - Step 06: Open search page
[INFO ] [2021-01-22 13:45:22,362] Advanced Search In Price Range - Step 07: click Search button
[INFO ] [2021-01-22 13:45:22,985] Advanced Search In Price Range - Step 08: verify there is only 1 products
[INFO ] [2021-01-22 13:45:23,019]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-22 13:45:23,031] Advanced Search Not In Price Range - Step 01: input to Search textbox with value: apple macbook pro
[INFO ] [2021-01-22 13:45:23,617] Advanced Search Not In Price Range - Step 02: check to checkbox 'Advanced Search'
[INFO ] [2021-01-22 13:45:23,646] Advanced Search Not In Price Range - Step 03: select 'Computers' in 'Category' dropdown
[INFO ] [2021-01-22 13:45:23,694] Advanced Search Not In Price Range - Step 04: check to checkbox 'Advanced Search'
[INFO ] [2021-01-22 13:45:23,724] Advanced Search Not In Price Range - Step 05: select 'Computers' in 'Category' dropdown
[INFO ] [2021-01-22 13:45:23,767] Advanced Search Not In Price Range - Step 06: select price range 1000-1700
[INFO ] [2021-01-22 13:45:24,873] Advanced Search Not In Price Range - Step 07: click Search button
[INFO ] [2021-01-22 13:45:25,482] Advanced Search Not In Price Range - Step 08: verify search warning
[INFO ] [2021-01-22 13:45:25,534]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-22 13:45:25,534] Advanced Search Not In Price Range - Step 09: select price range 1900-5000
[INFO ] [2021-01-22 13:45:26,668] Advanced Search Not In Price Range - Step 10: click Search button
[INFO ] [2021-01-22 13:45:27,265] Advanced Search Not In Price Range - Step 11: verify search warning
[INFO ] [2021-01-22 13:45:27,307]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-22 13:45:27,312] OS name = windows 10
[INFO ] [2021-01-22 13:45:28,046] ---------- QUIT BROWSER SUCCESS ----------
